clean_path,noisy_path,text
Dataset/clean/000000.tif,Dataset/noisy/000000.tif,॥
Dataset/clean/000001.tif,Dataset/noisy/000001.tif,॥
Dataset/clean/000002.tif,Dataset/noisy/000002.tif,॥
Dataset/clean/000003.tif,Dataset/noisy/000003.tif,तात्कालिक
Dataset/clean/000004.tif,Dataset/noisy/000004.tif,चरपला
Dataset/clean/000005.tif,Dataset/noisy/000005.tif,नि
Dataset/clean/000006.tif,Dataset/noisy/000006.tif,८७१४०
Dataset/clean/000007.tif,Dataset/noisy/000007.tif,ऋणानिदिनद
Dataset/clean/000008.tif,Dataset/noisy/000008.tif,)
Dataset/clean/000009.tif,Dataset/noisy/000009.tif,२७१४०
Dataset/clean/000010.tif,Dataset/noisy/000010.tif,य्या
Dataset/clean/000011.tif,Dataset/noisy/000011.tif,दि
Dataset/clean/000012.tif,Dataset/noisy/000012.tif,3
Dataset/clean/000013.tif,Dataset/noisy/000013.tif,2144
Dataset/clean/000014.tif,Dataset/noisy/000014.tif,त्र्यंर्ध
Dataset/clean/000015.tif,Dataset/noisy/000015.tif,रात्रिप्रमाणं
Dataset/clean/000016.tif,Dataset/noisy/000016.tif,२७
Dataset/clean/000017.tif,Dataset/noisy/000017.tif,४०
Dataset/clean/000018.tif,Dataset/noisy/000018.tif,१1१
Dataset/clean/000019.tif,Dataset/noisy/000019.tif,अयनांशाः
Dataset/clean/000020.tif,Dataset/noisy/000020.tif,२
Dataset/clean/000021.tif,Dataset/noisy/000021.tif,तत्रसा
Dataset/clean/000022.tif,Dataset/noisy/000022.tif,लग्नं
Dataset/clean/000023.tif,Dataset/noisy/000023.tif,साध्यं
Dataset/clean/000024.tif,Dataset/noisy/000024.tif,दिना
Dataset/clean/000025.tif,Dataset/noisy/000025.tif,त्या
Dataset/clean/000026.tif,Dataset/noisy/000026.tif,तत्कालार्क
Dataset/clean/000027.tif,Dataset/noisy/000027.tif,तस्मात्
Dataset/clean/000028.tif,Dataset/noisy/000028.tif,2191
Dataset/clean/000029.tif,Dataset/noisy/000029.tif,य
Dataset/clean/000030.tif,Dataset/noisy/000030.tif,21
Dataset/clean/000031.tif,Dataset/noisy/000031.tif,22
Dataset/clean/000032.tif,Dataset/noisy/000032.tif,भोग्य
Dataset/clean/000033.tif,Dataset/noisy/000033.tif,कालः
Dataset/clean/000034.tif,Dataset/noisy/000034.tif,युतं
Dataset/clean/000035.tif,Dataset/noisy/000035.tif,कलं
Dataset/clean/000036.tif,Dataset/noisy/000036.tif,काल
Dataset/clean/000037.tif,Dataset/noisy/000037.tif,सर्व
Dataset/clean/000038.tif,Dataset/noisy/000038.tif,जंग
Dataset/clean/000039.tif,Dataset/noisy/000039.tif,सर्वजंतुनां
Dataset/clean/000040.tif,Dataset/noisy/000040.tif,या
Dataset/clean/000041.tif,Dataset/noisy/000041.tif,॥
Dataset/clean/000042.tif,Dataset/noisy/000042.tif,भावः
Dataset/clean/000043.tif,Dataset/noisy/000043.tif,जा
Dataset/clean/000044.tif,Dataset/noisy/000044.tif,तो
Dataset/clean/000045.tif,Dataset/noisy/000045.tif,राशि
Dataset/clean/000046.tif,Dataset/noisy/000046.tif,मीन
Dataset/clean/000047.tif,Dataset/noisy/000047.tif,कुंभ
Dataset/clean/000048.tif,Dataset/noisy/000048.tif,मकर
Dataset/clean/000049.tif,Dataset/noisy/000049.tif,धन
Dataset/clean/000050.tif,Dataset/noisy/000050.tif,कन्या
Dataset/clean/000051.tif,Dataset/noisy/000051.tif,सिंह
Dataset/clean/000052.tif,Dataset/noisy/000052.tif,कर्क
Dataset/clean/000053.tif,Dataset/noisy/000053.tif,मिथुन
Dataset/clean/000054.tif,Dataset/noisy/000054.tif,वृषभ
Dataset/clean/000055.tif,Dataset/noisy/000055.tif,मेघ
Dataset/clean/000056.tif,Dataset/noisy/000056.tif,मं
Dataset/clean/000057.tif,Dataset/noisy/000057.tif,के
Dataset/clean/000058.tif,Dataset/noisy/000058.tif,333
Dataset/clean/000059.tif,Dataset/noisy/000059.tif,जा
Dataset/clean/000060.tif,Dataset/noisy/000060.tif,५५
Dataset/clean/000061.tif,Dataset/noisy/000061.tif,भावनिर्णय
Dataset/clean/000062.tif,Dataset/noisy/000062.tif,इत्यादि
Dataset/clean/000063.tif,Dataset/noisy/000063.tif,ता
Dataset/clean/000064.tif,Dataset/noisy/000064.tif,वा
